해역코드,해역,관측소,설치일자,종료일자,위도(°N),경도(°E),수온,,,수심(m),,,제공기관
,,,,,,,표층,중층,저층,표층,중층,저층,
fbhl7,남해,보성 해평(fbhl7),2021-07-06,,34.7289,127.2221,O,X,X,2,,,전라남도
gj001,남해,부산 기장(gj001),2005-10-26,2018-03-28,35.1904,129.223,O,X,X,5,,,
bbdi5,남해,부산 다대포(bbdi5),2018-04-12,,35.0224,128.9561,O,X,X,1,,,기상청
fsboa,남해,사천 비토1(fsboa),2024-10-31,,34.965,127.9961,O,O,O,1,2,3,사천시청
fsdoa,남해,사천 비토2(fsdoa),2024-10-31,,34.964,127.9965,O,O,O,1,2,3,사천시청
fscoa,남해,사천 비토3(fscoa),2024-11-04,,34.9641,127.9956,O,O,O,1,2,3,사천시청
fswoa,남해,사천 월등1(fswoa),2024-10-31,,34.97,128.0011,O,O,O,1,2,3,사천시청
fsxoa,남해,사천 월등2(fsxoa),2024-10-31,,34.9656,128.0002,O,O,O,1,2,3,사천시청
ejj47,남해,서제주(ejj47),2004-07-30,,33.3104,126.164,O,X,X,2,,,
ys001,남해,여수(ys001),2003-11-25,2008-05-26,34.417,127.5308,X,X,X,5,,,
bys99,남해,여수(bys99),2009-09-20,2011-04-09,34.4943,127.8065,X,X,X,5,,25,
fygl4,남해,여수 군내(fygl4),2021-04-22,,34.6179,127.7123,O,X,X,2,,,전라남도
byki5,남해,여수 금오도(byki5),2018-04-12,,34.5667,127.7767,O,X,X,1,,,기상청
fybm6,남해,여수 나발(fybm6),2022-06-07,,34.5731,127.737,O,X,X,3,,,전라남도
fynm6,남해,여수 나진(fynm6),2022-06-07,,34.7032,127.6254,O,X,X,2,,,전라남도
fycm6,남해,여수 덕촌(fycm6),2022-06-07,,34.032,127.3018,O,X,X,4,,,전라남도
fydo4,남해,여수 돌산(fydo4),2023-04-20,,34.7236,127.7381,O,X,X,2,,,전라남도
fydo9,남해,여수 동두(fydo9),2024-09-06,,34.6188,127.6496,O,X,X,2,,,전라남도
fybo4,남해,여수 백야(fybo4),2023-04-20,,34.6248,127.6341,O,X,X,2,,,전라남도
km001,남해,여수 신월(km001),2005-11-02,,34.687,127.708,O,X,X,5,,,
fysk9,남해,여수 신월2(fysk9),2020-09-17,,34.719,127.7138,O,X,X,3,,,전라남도
fyym6,남해,여수 여자(fyym6),2022-06-23,,34.7494,127.515,O,X,X,2,,,전라남도
fywo4,남해,여수 월호(fywo4),2024-04-09,,34.5739,127.7259,O,X,X,2,,,전라남도
fyjkc,남해,여수 제도(fyjkc),2020-12-07,2024-06-05,34.5903,127.6583,O,X,X,2,,,전라남도
fyjo4,남해,여수 중앙(fyjo4),2023-04-20,,34.6722,127.788,O,X,X,2,,,전라남도
fyhl7,남해,여수 항대(fyhl7),2021-07-06,,34.6476,127.6863,O,X,X,2,,,전라남도
fyhm6,남해,여수 화산(fyhm6),2022-06-07,,34.5772,127.6897,O,X,X,2,,,전라남도
fyho5,남해,여수 화태(fyho5),2024-05-27,,34.5927,127.7269,O,X,X,3,,,전라남도
yj087,남해,여수 화태(yj087),2008-07-03,2024-05-25,34.586,127.7172,O,X,X,4,,,
ms1a2,남해,여수1(ms1a2),2010-03-14,2010-07-05,34.5556,127.6476,X,X,X,,,,
ms2a2,남해,여수2(ms2a2),2010-03-14,2010-11-06,34.5843,127.7636,X,X,X,,,,
ms3a2,남해,여수3(ms3a2),2010-03-14,2010-03-15,34.5786,127.7681,X,X,X,,,,
ms4a2,남해,여수4(ms4a2),2010-03-14,2010-03-15,34.4046,127.8146,X,X,X,,,,
ms5a2,남해,여수5(ms5a2),2010-03-14,2010-03-15,34.4065,127.7931,X,X,X,,,,
ms6a2,남해,여수6(ms6a2),2010-03-14,2010-03-27,34.4215,127.777,X,X,X,,,,
ms7a2,남해,여수7(ms7a2),2010-03-14,2010-05-22,34.4546,127.7761,X,X,X,,,,
fwgf1,남해,완도 가교(fwgf1),2014-12-30,,34.4347,126.8083,O,O,X,2,6,,완도군청
fwgm6,남해,완도 가학(fwgm6),2022-06-07,,34.4402,127.011,O,X,X,2,,,전라남도
fwyo5,남해,완도 감목(fwyo5),2024-05-09,,34.342,127.0101,O,X,X,5,,,
fwgk8,남해,완도 고마(fwgk8),2020-08-24,,34.409,126.7147,O,X,X,4,,,전라남도
fwgk5,남해,완도 군외(fwgk5),2020-05-28,,34.3906,126.644,O,X,X,2,,,전라남도
wk094,남해,완도 금일(wk094),2009-04-16,,34.3786,127.0654,O,X,X,4,,,
fwnm6,남해,완도 내리(fwnm6),2022-06-07,,34.1895,126.5248,O,X,X,2,,,전라남도
wn087,남해,완도 노화도(wn087),2008-07-24,,34.2214,126.5414,O,X,X,5,,,
fwao4,남해,완도 당목(fwao4),2023-04-20,,34.3817,126.9485,O,X,X,2,,,전라남도
fwio4,남해,완도 당인(fwio4),2023-04-20,,34.3156,126.6513,O,X,X,2,,,전라남도
fwjf1,남해,완도 대정원도(fwjf1),2014-12-30,2016-02-08,34.2719,126.4108,O,O,X,2,6,,완도군청
fwdo5,남해,완도 대창(fwdo5),2024-05-13,,34.3825,126.7364,O,X,X,3,,,완도군청
fwdo4,남해,완도 덕동(fwdo4),2023-04-20,,34.3868,126.8637,O,X,X,3,,,전라남도
fwdf1,남해,완도 동백(fwdf1),2014-12-30,,34.3275,127.035,O,O,X,2,6,,완도군청
fwdk7,남해,완도 동촌(fwdk7),2020-07-23,,34.3128,126.8696,O,X,X,3,,,전라남도
fwmg3,남해,완도 망남(fwmg3),2016-03-29,,34.3013,126.768,O,O,X,2,6,,완도군청
fwmo4,남해,완도 모동(fwmo4),2023-04-20,,34.1977,126.7761,O,X,X,2,,,전라남도
fwmk5,남해,완도 미라(fwmk5),2020-05-28,,34.1517,126.6721,O,X,X,2,,,전라남도
fwbl6,남해,완도 방축(fwbl6),2021-06-11,,34.1681,126.483,O,X,X,3,,,전라남도
fwbf1,남해,완도 백도(fwbf1),2014-12-30,,34.1636,126.6269,O,O,X,2,6,,완도군청
fwso5,남해,완도 사동(fwso5),2024-05-13,,34.3373,127.0837,O,X,X,3,,,완도군청
fwsm6,남해,완도 송곡(fwsm6),2022-06-07,,34.3373,126.7763,O,X,X,2,,,전라남도
fwsl6,남해,완도 신흥(fwsl6),2021-06-11,,34.19,126.9162,O,X,X,2,,,전라남도
fwyo4,남해,완도 양지(fwyo4),2024-04-09,,34.3017,126.8598,O,X,X,2,,,전라남도
fwyl6,남해,완도 예송(fwyl6),2021-06-11,,34.1434,126.5792,O,X,X,2,,,전라남도
fwih6,남해,완도 일정(fwih6),2017-06-13,,34.3674,126.9941,O,X,X,3,,,
fwjl6,남해,완도 중도(fwjl6),2021-06-11,,34.2899,126.7388,O,X,X,2,,,전라남도
wc001,남해,완도 청산(wc001),2005-10-25,,34.1698,126.8547,O,X,X,3,,,
fwho4,남해,완도 회룡(fwho4),2023-04-20,,34.3646,126.7956,O,X,X,2,,,전라남도
fjnk6,남해,장흥 내저(fjnk6),2020-06-16,,34.4355,126.8628,O,X,X,3,,,전라남도
fjnka,남해,장흥 노력(fjnka),2020-10-19,,34.4589,126.9696,O,X,X,2,,,전라남도
fjskb,남해,장흥 사촌(fjskb),2020-11-13,,34.5882,127.0272,O,X,X,2,,,전라남도
fjil6,남해,장흥 이진목(fjil6),2021-06-11,,34.4288,126.9278,O,X,X,2,,,전라남도
ejhfc,남해,장흥 회진(ejhfc),2015-12-11,,34.4699,126.9809,O,O,X,2,5,,전남과학원
bsj85,남해,제주(bsj85),2008-08-19,2010-09-22,33.32,126.151,X,X,X,5,15,21,
bjgi5,남해,제주 가파도(bjgi5),2018-04-12,,33.1626,126.2639,O,X,X,1,,,기상청
bjii5,남해,제주 김녕(bjii5),2018-04-12,,33.5817,126.7636,O,X,X,1,,,기상청
bjsi5,남해,제주 신산(bjsi5),2018-04-12,,33.3778,126.9058,O,X,X,1,,,기상청
bjoi5,남해,제주 영락(bjoi5),2018-04-12,,33.2386,126.1947,O,X,X,1,,,기상청
bjyi5,남해,제주 용담(bjyi5),2018-04-12,,33.5253,126.4939,O,X,X,1,,,기상청
bjui5,남해,제주 우도(bjui5),2018-04-12,,33.5222,126.967,O,X,X,1,,,기상청
bjni5,남해,제주 중문(bjni5),2018-04-12,,33.2254,126.3928,O,X,X,1,,,기상청
jj003,남해,제주 표선(jj003),2007-12-18,2009-04-28,33.3254,126.8463,X,X,X,5,,,
bjhi5,남해,제주 협재(bjhi5),2018-04-12,,33.4005,126.2091,O,X,X,1,,,기상청
mj2a2,남해,제주2(mj2a2),2010-03-19,2010-03-20,33.291,126.12,X,X,X,,,,
fjgl6,남해,진도 금갑(fjgl6),2021-06-11,,34.3836,126.2754,O,X,X,2,,,전라남도
fjdl4,남해,진도 도목(fjdl4),2021-04-22,,34.4019,126.315,O,X,X,1,,,전라남도
fjmm6,남해,진도 모도(fjmm6),2022-06-07,,34.3982,126.359,O,X,X,2,,,전라남도
bjli5,남해,진도 불무도(bjli5),2018-04-12,,34.3178,126.1742,O,X,X,1,,,기상청
fjsm6,남해,진도 신전(fjsm6),2022-06-07,,34.2678,126.0784,O,X,X,2,,,전라남도
bjji5,남해,진도 조도(bjji5),2018-04-12,,34.2872,126.1153,O,X,X,1,,,기상청
fjhk9,남해,진도 회동(fjhk9),2020-09-21,,34.3991,126.4035,O,X,X,2,,,전라남도
btji5,남해,진해 잠도(btji5),2018-04-12,,35.058,128.6808,O,X,X,1,,,기상청
bcji5,남해,추자도(bcji5),2018-04-12,,33.9731,126.2783,O,X,X,1,,,기상청
jj001,남해,추자도(jj001),2004-02-12,2006-03-01,33.5764,126.187,X,X,X,5,,,
ms001,남해,통영(ms001),2004-01-02,2005-09-23,34.3961,128.2285,X,X,X,5,,,
ftgp7,남해,통영 곤리(ftgp7),2025-07-21,,34.785,128.3719,O,O,O,3,6,9,통영시청
ftdp7,남해,통영 동좌(ftdp7),2025-07-21,,34.7974,128.5118,O,O,O,2,4,8,통영시청
btdi5,남해,통영 두미도(btdi5),2018-04-12,,34.71,128.1492,O,X,X,1,,,기상청
ftmp7,남해,통영 모상(ftmp7),2025-07-21,,34.8232,128.3565,O,O,O,2,4,6,통영시청
tb087,남해,통영 비산도(tb087),2008-07-23,,34.8082,128.4951,O,O,X,5,8,,
ty005,남해,통영 사량(ty005),2005-11-21,,34.8022,128.2463,O,X,X,5,,,
ty000,남해,통영 사량(ty000),2005-11-21,2010-10-01,34.802,128.2472,X,X,X,5,,,
ftup7,남해,통영 삼덕1(ftup7),2025-07-21,,34.7848,128.388,O,O,O,3,5,7,통영시청
fttp7,남해,통영 삼덕2(fttp7),2025-07-21,,34.7901,128.3819,O,O,O,2,4,6,통영시청
ftsp7,남해,통영 삼덕3(ftsp7),2025-07-21,,34.793,128.3726,O,O,O,1,3,5,통영시청
ftsj3,남해,통영 수월(ftsj3),2019-03-28,,34.8222,128.345,O,X,X,5,,,
btaga,남해,통영 안정(btaga),2016-10-24,2019-04-19,34.9395,128.4456,O,O,O,5,10,15,가스공사
btyi5,남해,통영 연화도(btyi5),2018-04-12,,34.6733,128.3653,O,X,X,1,,,기상청
ty004,남해,통영 영운(ty004),2005-10-26,,34.7904,128.4293,O,X,X,5,,,
ftyp7,남해,통영 욕지(ftyp7),2025-07-21,,34.6365,128.275,O,O,O,3,5,8,통영시청
ftjp7,남해,통영 저림(ftjp7),2025-07-21,,34.7512,128.4051,O,O,O,2,5,7,통영시청
btjga,남해,통영 지도(btjga),2016-10-24,2019-04-19,34.9061,128.479,O,X,X,5,,,가스공사
ftp4c,남해,통영 풍화(ftp4c),2004-12-24,,34.8348,128.3353,O,O,X,4,9,,
fth59,남해,통영 학림(fth59),2005-09-23,,34.7498,128.4151,O,O,O,5,10,15,
bthi5,남해,통영 한산도(bthi5),2018-04-12,,34.7056,128.4961,O,X,X,1,,,기상청
fthp7,남해,통영 함박(fthp7),2025-07-21,,34.841,128.343,O,O,O,2,4,6,통영시청
ftrp7,남해,통영 해란(ftrp7),2025-07-21,,34.8137,128.3688,O,O,O,3,5,7,통영시청
